25-06-04 10:39:01.997 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting... 
25-06-04 10:39:02.000 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@29d38163]] 
25-06-04 10:39:02.001 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started. 
25-06-04 10:39:02.010 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-06-04 10:39:02.028 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/' 
25-06-04 10:39:02.058 [main] INFO  c.d.j.JwtSecurityApplication - Started JwtSecurityApplication in 16.946 seconds (process running for 18.727) 
25-06-04 10:39:02.075 [main] INFO  o.s.b.a.b.JobLauncherApplicationRunner - Running default command line with: [] 
25-06-04 10:39:02.580 [RMI TCP Connection(2)-192.168.1.106] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-06-04 10:39:02.581 [RMI TCP Connection(2)-192.168.1.106] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-06-04 10:39:02.587 [RMI TCP Connection(2)-192.168.1.106] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms 
25-06-04 10:39:54.274 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete 
25-06-04 10:39:54.278 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete 
25-06-04 10:39:54.280 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping... 
25-06-04 10:39:54.280 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@29d38163]] 
25-06-04 10:39:54.280 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped. 
25-06-04 10:39:54.306 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
25-06-04 10:39:56.742 [main] INFO  c.d.j.JwtSecurityApplication - Starting JwtSecurityApplication...⚡⚡⚡⚡⚡⚡⚡⚡⚡ 
25-06-04 10:39:57.327 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final 
25-06-04 10:39:57.384 [main] INFO  c.d.j.JwtSecurityApplication - Starting JwtSecurityApplication using Java 22.0.1 with PID 27000 (C:\Users\CAPTAIN ENJOY\Downloads\jwt-security\target\classes started by xyborg in C:\Users\CAPTAIN ENJOY\Downloads\jwt-security) 
25-06-04 10:39:57.385 [main] INFO  c.d.j.JwtSecurityApplication - No active profile set, falling back to 1 default profile: "default" 
25-06-04 10:39:58.530 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-04 10:39:58.531 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
25-06-04 10:39:58.749 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 198 ms. Found 12 JPA repository interfaces. 
25-06-04 10:39:58.760 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'blogService' with a different definition: replacing [Generic bean: class=com.drsimple.jwtsecurity.blog.BlogService; scope=singleton; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; fallback=false; factoryBeanName=null; factoryMethodName=null; initMethodNames=null; destroyMethodNames=null; defined in file [C:\Users\CAPTAIN ENJOY\Downloads\jwt-security\target\classes\com\drsimple\jwtsecurity\blog\BlogService.class]] with [Generic bean: class=com.drsimple.jwtsecurity.blog.BlogService; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; fallback=false; factoryBeanName=null; factoryMethodName=null; initMethodNames=null; destroyMethodNames=null; defined in class path resource [applicationContext.xml]] 
